mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.45369906425476075,0.014848375397382567,0.1251371383666992,0.006938883934669013,4,10,"{'model__max_depth': 4, 'model__min_samples_split': 10}",0.6948514028107163,0.7262806115831011,0.7288842381252439,0.705571811352391,0.7313752404122762,0.7173926608567457,0.01452174469243288,16,0.31828757561656584,0.34959734722880154,0.3502879078694818,0.343492985002419,0.3610567514677104,0.3445445134369957,0.014294783730244752,17,0.5385826771653544,0.582018927444795,0.5757097791798107,0.5590551181102362,0.5811023622047244,0.5672937728209841,0.016556200818335982,5
0.46439099311828613,0.01653454672140609,0.127583646774292,0.006603301856568994,4,30,"{'model__max_depth': 4, 'model__min_samples_split': 30}",0.6944983786857576,0.7262806115831011,0.7286769949175209,0.7043359689642136,0.7313752404122762,0.7170334389125739,0.014804219341873434,17,0.3179916317991632,0.34959734722880154,0.3501199040767386,0.3423336547733848,0.3610567514677104,0.3442198578691597,0.014413094934890982,18,0.5385826771653544,0.582018927444795,0.5757097791798107,0.5590551181102362,0.5811023622047244,0.5672937728209841,0.016556200818335982,5
0.4473711967468262,0.016227305396964445,0.12878270149230958,0.008115748184382801,4,50,"{'model__max_depth': 4, 'model__min_samples_split': 50}",0.6944983786857576,0.7262806115831011,0.7286769949175209,0.7043359689642136,0.7313752404122762,0.7170334389125739,0.014804219341873434,17,0.3179916317991632,0.34959734722880154,0.3501199040767386,0.3423336547733848,0.3610567514677104,0.3442198578691597,0.014413094934890982,18,0.5385826771653544,0.582018927444795,0.5757097791798107,0.5590551181102362,0.5811023622047244,0.5672937728209841,0.016556200818335982,5
0.4230314254760742,0.020076339695775564,0.11372346878051758,0.0015052200409304604,4,100,"{'model__max_depth': 4, 'model__min_samples_split': 100}",0.6944983786857576,0.7262806115831011,0.7286769949175209,0.7043359689642136,0.7313752404122762,0.7170334389125739,0.014804219341873434,17,0.3179916317991632,0.34959734722880154,0.3501199040767386,0.3423336547733848,0.3610567514677104,0.3442198578691597,0.014413094934890982,18,0.5385826771653544,0.582018927444795,0.5757097791798107,0.5590551181102362,0.5811023622047244,0.5672937728209841,0.016556200818335982,5
0.5081949710845948,0.032667730246414624,0.11314468383789063,0.0031053321739006753,6,10,"{'model__max_depth': 6, 'model__min_samples_split': 10}",0.7108045432955821,0.7536640401594209,0.7537647810991562,0.7481621817105848,0.7566202554534546,0.7446031603436397,0.01711992149651337,11,0.3642241379310345,0.37392138063279,0.4077066500932256,0.39356984478935697,0.39759036144578314,0.38740247497843805,0.015956592500828048,12,0.5322834645669291,0.6151419558359621,0.5173501577287066,0.5590551181102362,0.5716535433070866,0.5590968479097841,0.03394251060395949,13
0.48424954414367677,0.04726013433535122,0.11872940063476563,0.005969524530949649,6,30,"{'model__max_depth': 6, 'model__min_samples_split': 30}",0.71429649095992,0.7545710378357948,0.7559279129440256,0.7466306116745846,0.7566202554534546,0.7456092617735559,0.01605965594671283,10,0.3653949489521762,0.3741626794258373,0.4086687306501548,0.39183222958057395,0.39759036144578314,0.3875297900109051,0.015717580788946365,11,0.5354330708661418,0.6167192429022083,0.5205047318611987,0.5590551181102362,0.5716535433070866,0.5606731414093742,0.033211187887319533,11
0.49874463081359866,0.03471068865707182,0.11752066612243653,0.006092712170325518,6,50,"{'model__max_depth': 6, 'model__min_samples_split': 50}",0.7142955048590122,0.7545710378357948,0.7560283246650035,0.7466306116745846,0.7576872749987672,0.7458425508066324,0.016223878168013562,9,0.3653949489521762,0.3741626794258373,0.4086687306501548,0.39183222958057395,0.397596941561988,0.3875311060341461,0.01571842335211697,10,0.5354330708661418,0.6167192429022083,0.5205047318611987,0.5590551181102362,0.573228346456693,0.5609881020392955,0.03332111328088282,10
0.4765148639678955,0.02144906027350841,0.12560634613037108,0.01436080039481381,6,100,"{'model__max_depth': 6, 'model__min_samples_split': 100}",0.7139557930963075,0.7556288177030145,0.7590084128561241,0.7480390577482616,0.757762398698075,0.7468788960203565,0.01689623401850331,8,0.3654876741693462,0.3744030563514804,0.410129709697344,0.3918770581778266,0.397596941561988,0.38789888799159705,0.016052959175444945,9,0.537007874015748,0.6182965299684543,0.5236593059936908,0.5622047244094488,0.573228346456693,0.5628793561688069,0.032821230337891014,9
0.5435882091522217,0.03281367489852223,0.11836781501770019,0.007723311168219851,8,10,"{'model__max_depth': 8, 'model__min_samples_split': 10}",0.7229367071132389,0.7495481472555994,0.7589266019949339,0.7510297042723522,0.7586024033008398,0.7482087127873929,0.013200971933927788,7,0.3742690058479532,0.392644672796106,0.42157470551766896,0.42659974905897113,0.43446153846153845,0.4099099343364475,0.022740989894355808,3,0.5039370078740157,0.5725552050473186,0.5362776025236593,0.5354330708661418,0.5559055118110237,0.5408216796244318,0.022998710313327977,19
0.549397325515747,0.0489363683982797,0.12291874885559081,0.007073803911235502,8,30,"{'model__max_depth': 8, 'model__min_samples_split': 30}",0.7255840593501266,0.7506832935307856,0.7637080106166465,0.7490033370045864,0.7600300823566156,0.7498017565717522,0.013311002891263668,5,0.37390797903319745,0.39287641662169454,0.42338461538461536,0.4228855721393035,0.4351567301782422,0.4096422626714106,0.02268593474738355,4,0.5055118110236221,0.5741324921135647,0.5425867507886435,0.5354330708661418,0.5574803149606299,0.5430288879505204,0.022985651690339004,18
0.5739577770233154,0.03736333736807511,0.11572885513305664,0.002286425646188246,8,50,"{'model__max_depth': 8, 'model__min_samples_split': 50}",0.7254109986408243,0.7555147434036082,0.7636143478801934,0.7532546479706739,0.7641587625137672,0.7523907000818135,0.01416240026111728,4,0.37369033760186265,0.39400428265524623,0.4228641671788568,0.4250309789343247,0.43541540327471195,0.4102010339290004,0.0228535000915958,2,0.5055118110236221,0.580441640378549,0.5425867507886435,0.5401574803149606,0.5653543307086614,0.5468104026428874,0.025466101782421754,17
0.5541606903076172,0.05011360805509972,0.14772639274597169,0.04412538250775912,8,100,"{'model__max_depth': 8, 'model__min_samples_split': 100}",0.7369820710419963,0.7620197768291888,0.7689713954990529,0.7568586129239063,0.770742853385498,0.7591149419359285,0.01213054872539674,2,0.37986270022883295,0.39663335086796425,0.423500611995104,0.42021924482338613,0.4371649791542585,0.4114761774139092,0.020497142382212258,1,0.5228346456692914,0.5946372239747634,0.5457413249211357,0.5433070866141733,0.5779527559055118,0.556894607416975,0.025834272386292365,15
0.6283423423767089,0.025242844495588595,0.14727568626403809,0.01365331252608763,10,10,"{'model__max_depth': 10, 'model__min_samples_split': 10}",0.7217994040663515,0.7440796590873925,0.7409963608158568,0.7216484473887529,0.7409251557542781,0.7338898054225264,0.009998610433702933,14,0.37149532710280375,0.39317953861584753,0.4229017566688354,0.40189125295508277,0.41805813234384664,0.40150520153728325,0.018449229534786577,8,0.5007874015748032,0.6182965299684543,0.5126182965299685,0.5354330708661418,0.5322834645669291,0.5398837527012593,0.04122636622092407,20
0.6208177089691163,0.029043684759167784,0.12432298660278321,0.00572170012263786,10,30,"{'model__max_depth': 10, 'model__min_samples_split': 30}",0.7322149305538436,0.751877369963529,0.7453140648179057,0.7306044416681735,0.7465400358358129,0.741310168567853,0.008395050746010359,12,0.3734249713631157,0.39622641509433965,0.4217252396166134,0.4027777777777778,0.4200743494423792,0.40284575065884515,0.017678587032603003,7,0.5133858267716536,0.6293375394321766,0.5205047318611987,0.5480314960629922,0.5338582677165354,0.5490235723689112,0.04186807175209916,16
0.8068946361541748,0.08809330514302345,0.15953497886657714,0.04685325294546928,10,50,"{'model__max_depth': 10, 'model__min_samples_split': 50}",0.7337829953472472,0.761070474542501,0.746948142119787,0.746180691401049,0.7590786250883567,0.7494121856997882,0.009900923254281673,6,0.3737142857142857,0.3988183161004431,0.42051931602279924,0.4093767867352773,0.4257907542579075,0.4056438917661426,0.018478079151920356,6,0.5149606299212598,0.638801261829653,0.5236593059936908,0.5637795275590551,0.5511811023622047,0.5584763655331727,0.043907357556720476,14
0.6566222667694092,0.05567628620949713,0.12877998352050782,0.00790911867595507,10,100,"{'model__max_depth': 10, 'model__min_samples_split': 100}",0.747929598969196,0.7637466938206299,0.7635424135817224,0.7599067940098303,0.7715662551575627,0.7613383511077882,0.007708592827511538,1,0.38202247191011235,0.3947496353913466,0.4292803970223325,0.4119977362761743,0.4294909303686366,0.4095082341937205,0.01881343964765159,5,0.5354330708661418,0.6403785488958991,0.5457413249211357,0.573228346456693,0.5779527559055118,0.5745468094090762,0.036624574316555046,4
0.7335434913635254,0.05957347840662064,0.12689976692199706,0.01199444636190572,12,10,"{'model__max_depth': 12, 'model__min_samples_split': 10}",0.7019759818688913,0.7210249633414914,0.7259979772799552,0.6976152746042443,0.7157927440698305,0.7124813882328825,0.010936368957519161,20,0.3520408163265306,0.3815028901734104,0.36777063766683143,0.36934950385887544,0.3743482794577685,0.3690024254966833,0.00973831322145301,16,0.5433070866141733,0.5725552050473186,0.5867507886435331,0.5275590551181102,0.5653543307086614,0.5591052932263593,0.021113846098006133,12
0.6808924198150634,0.06230369037395156,0.11536688804626465,0.009302859107137892,12,30,"{'model__max_depth': 12, 'model__min_samples_split': 30}",0.7249289596471071,0.7317986471742826,0.7437390822829608,0.7112141436391431,0.7366143376128088,0.7296590340712605,0.011079616747345979,15,0.36076885165105965,0.38245792962774094,0.3734881470730527,0.3700159489633174,0.37720625315179024,0.3727874260933922,0.007289209808746561,15,0.5763779527559055,0.5914826498422713,0.6088328075709779,0.5480314960629922,0.5889763779527559,0.5827402568369806,0.020205528122381855,3
0.6073002338409423,0.0394587762067238,0.07666959762573242,0.009534052913539023,12,50,"{'model__max_depth': 12, 'model__min_samples_split': 50}",0.7336945749658562,0.7429138954677771,0.7430363648454943,0.7351232061545541,0.749508983610869,0.7408554050089101,0.005796791906040877,13,0.3643525356967011,0.3876518218623482,0.3714011516314779,0.3807026743576298,0.38274665344571146,0.3773709673987737,0.008376305922220282,14,0.5826771653543307,0.6041009463722398,0.610410094637224,0.5716535433070866,0.6078740157480315,0.5953431530837825,0.01537763991451995,2
0.5132259368896485,0.0347235725509055,0.06009855270385742,0.007916280391125989,12,100,"{'model__max_depth': 12, 'model__min_samples_split': 100}",0.7453854586273145,0.7562655267796413,0.7655644751890867,0.7517174888629526,0.764846218335443,0.7567558335588875,0.007719549692817202,3,0.3705509507557289,0.38407960199004976,0.3835616438356164,0.38504864311315923,0.38891543239369325,0.38243125441764947,0.006229474017339281,13,0.5984251968503937,0.6088328075709779,0.6403785488958991,0.5921259842519685,0.6409448818897637,0.6161414838918006,0.020720384510453018,1
